zip_code_id,postal_code,city,county_name,state_id,state_name,timezone,longitude,population,latitude
1,60002,Antioch,Lake,IL,Illinois,America/Chicago,-88.08716,24066,42.46973
2,60004,Arlington Heights,Cook,IL,Illinois,America/Chicago,-87.97917,50915,42.11201
3,60005,Arlington Heights,Cook,IL,Illinois,America/Chicago,-87.98568,29539,42.06394
4,60007,Elk Grove Village,Cook,IL,Illinois,America/Chicago,-87.99298,33420,42.0076
5,60008,Rolling Meadows,Cook,IL,Illinois,America/Chicago,-88.02265,21833,42.07441
6,60010,Barrington,Lake,IL,Illinois,America/Chicago,-88.16351,46087,42.15227
7,60012,Crystal Lake,McHenry,IL,Illinois,America/Chicago,-88.31267,10958,42.27204
8,60013,Cary,McHenry,IL,Illinois,America/Chicago,-88.23584,25827,42.22038
9,60014,Crystal Lake,McHenry,IL,Illinois,America/Chicago,-88.32735,48443,42.232
10,60015,Deerfield,Lake,IL,Illinois,America/Chicago,-87.87479,27452,42.1725
11,60016,Des Plaines,Cook,IL,Illinois,America/Chicago,-87.89166,59637,42.04972
12,60018,Des Plaines,Cook,IL,Illinois,America/Chicago,-87.89693,30386,41.99744
13,60020,Fox Lake,Lake,IL,Illinois,America/Chicago,-88.1775,9827,42.39198
14,60021,Fox River Grove,McHenry,IL,Illinois,America/Chicago,-88.21823,5548,42.19485
15,60022,Glencoe,Cook,IL,Illinois,America/Chicago,-87.76761,8477,42.13608
16,60025,Glenview,Cook,IL,Illinois,America/Chicago,-87.82043,41014,42.0754
17,60026,Glenview,Cook,IL,Illinois,America/Chicago,-87.83744,14118,42.09225
18,60029,Golf,Cook,IL,Illinois,America/Chicago,-87.77836,560,42.05926
19,60030,Grayslake,Lake,IL,Illinois,America/Chicago,-88.04459,36817,42.33666
20,60031,Gurnee,Lake,IL,Illinois,America/Chicago,-87.94113,37172,42.37504
21,60033,Harvard,McHenry,IL,Illinois,America/Chicago,-88.60744,13681,42.42479
22,60034,Hebron,McHenry,IL,Illinois,America/Chicago,-88.41945,2077,42.45621
23,60035,Highland Park,Lake,IL,Illinois,America/Chicago,-87.81056,29734,42.18371
24,60040,Highwood,Lake,IL,Illinois,America/Chicago,-87.81304,5366,42.20631
25,60041,Ingleside,Lake,IL,Illinois,America/Chicago,-88.15543,8897,42.36832
26,60042,Island Lake,McHenry,IL,Illinois,America/Chicago,-88.19789,8420,42.27928
27,60043,Kenilworth,Cook,IL,Illinois,America/Chicago,-87.71458,2512,42.08885
28,60044,Lake Bluff,Lake,IL,Illinois,America/Chicago,-87.86792,10003,42.28534
29,60045,Lake Forest,Lake,IL,Illinois,America/Chicago,-87.86979,21131,42.23838
30,60046,Lake Villa,Lake,IL,Illinois,America/Chicago,-88.06042,35286,42.41609
31,60047,Lake Zurich,Lake,IL,Illinois,America/Chicago,-88.04547,42637,42.20226
32,60048,Libertyville,Lake,IL,Illinois,America/Chicago,-87.94981,29058,42.29522
33,60050,Mchenry,McHenry,IL,Illinois,America/Chicago,-88.29554,32732,42.33106
34,60051,Mchenry,McHenry,IL,Illinois,America/Chicago,-88.22936,23298,42.35416
35,60053,Morton Grove,Cook,IL,Illinois,America/Chicago,-87.78897,23256,42.04234
36,60056,Mount Prospect,Cook,IL,Illinois,America/Chicago,-87.93438,55250,42.06654
37,60060,Mundelein,Lake,IL,Illinois,America/Chicago,-88.03972,37208,42.26991
38,60061,Vernon Hills,Lake,IL,Illinois,America/Chicago,-87.96073,27004,42.23375
39,60062,Northbrook,Cook,IL,Illinois,America/Chicago,-87.84438,40459,42.12655
40,60064,North Chicago,Lake,IL,Illinois,America/Chicago,-87.86059,15705,42.32251
41,60067,Palatine,Cook,IL,Illinois,America/Chicago,-88.06539,38177,42.10658
42,60068,Park Ridge,Cook,IL,Illinois,America/Chicago,-87.84355,37736,42.0125
43,60069,Lincolnshire,Lake,IL,Illinois,America/Chicago,-87.9261,8186,42.19761
44,60070,Prospect Heights,Cook,IL,Illinois,America/Chicago,-87.93006,16049,42.10342
45,60071,Richmond,McHenry,IL,Illinois,America/Chicago,-88.31287,3581,42.46376
46,60072,Ringwood,McHenry,IL,Illinois,America/Chicago,-88.30586,1021,42.40674
47,60073,Round Lake,Lake,IL,Illinois,America/Chicago,-88.10978,61706,42.34816
48,60074,Palatine,Cook,IL,Illinois,America/Chicago,-88.02657,39478,42.13148
49,60076,Skokie,Cook,IL,Illinois,America/Chicago,-87.72989,31867,42.03524
50,60077,Skokie,Cook,IL,Illinois,America/Chicago,-87.75719,28329,42.03477
51,60081,Spring Grove,McHenry,IL,Illinois,America/Chicago,-88.22624,9660,42.45072
52,60083,Wadsworth,Lake,IL,Illinois,America/Chicago,-87.9459,9990,42.43614
53,60084,Wauconda,Lake,IL,Illinois,America/Chicago,-88.14094,16612,42.26788
54,60085,Waukegan,Lake,IL,Illinois,America/Chicago,-87.86825,70850,42.35333
55,60087,Waukegan,Lake,IL,Illinois,America/Chicago,-87.85381,26678,42.40344
56,60088,Great Lakes,Lake,IL,Illinois,America/Chicago,-87.85275,12662,42.30638
57,60089,Buffalo Grove,Lake,IL,Illinois,America/Chicago,-87.96064,41392,42.16693
58,60090,Wheeling,Cook,IL,Illinois,America/Chicago,-87.92197,38476,42.1295
59,60091,Wilmette,Cook,IL,Illinois,America/Chicago,-87.72809,27367,42.07702
60,60093,Winnetka,Cook,IL,Illinois,America/Chicago,-87.75872,19441,42.10441
61,60096,Winthrop Harbor,Lake,IL,Illinois,America/Chicago,-87.82974,6803,42.48091
62,60097,Wonder Lake,McHenry,IL,Illinois,America/Chicago,-88.3647,10826,42.39598
63,60098,Woodstock,McHenry,IL,Illinois,America/Chicago,-88.45785,32526,42.32526
64,60099,Zion,Lake,IL,Illinois,America/Chicago,-87.86986,30934,42.46126
65,60101,Addison,DuPage,IL,Illinois,America/Chicago,-88.01184,39216,41.93065
66,60102,Algonquin,McHenry,IL,Illinois,America/Chicago,-88.30649,32739,42.16404
67,60103,Bartlett,DuPage,IL,Illinois,America/Chicago,-88.20634,42196,41.97942
68,60104,Bellwood,Cook,IL,Illinois,America/Chicago,-87.87648,18999,41.88284
69,60106,Bensenville,DuPage,IL,Illinois,America/Chicago,-87.9419,20462,41.96046
70,60107,Streamwood,Cook,IL,Illinois,America/Chicago,-88.17931,40437,42.02214
71,60108,Bloomingdale,DuPage,IL,Illinois,America/Chicago,-88.09176,22766,41.94927
72,60109,Burlington,Kane,IL,Illinois,America/Chicago,-88.54598,568,42.04982
73,60110,Carpentersville,Kane,IL,Illinois,America/Chicago,-88.28591,39333,42.12292
74,60111,Clare,DeKalb,IL,Illinois,America/Chicago,-88.82811,150,42.00818
75,60112,Cortland,DeKalb,IL,Illinois,America/Chicago,-88.69089,4356,41.92432
76,60113,Creston,Ogle,IL,Illinois,America/Chicago,-88.96583,339,41.93221
77,60115,Dekalb,DeKalb,IL,Illinois,America/Chicago,-88.7548,45325,41.90082
78,60118,Dundee,Kane,IL,Illinois,America/Chicago,-88.30525,15836,42.1067
79,60119,Elburn,Kane,IL,Illinois,America/Chicago,-88.47667,10246,41.86048
80,60120,Elgin,Kane,IL,Illinois,America/Chicago,-88.23847,50922,42.03454
81,60123,Elgin,Kane,IL,Illinois,America/Chicago,-88.31131,48952,42.04022
82,60124,Elgin,Kane,IL,Illinois,America/Chicago,-88.39709,22338,42.02582
83,60126,Elmhurst,DuPage,IL,Illinois,America/Chicago,-87.94202,48410,41.89644
84,60129,Esmond,DeKalb,IL,Illinois,America/Chicago,-88.95633,260,42.02643
85,60130,Forest Park,Cook,IL,Illinois,America/Chicago,-87.81738,14041,41.86642
86,60131,Franklin Park,Cook,IL,Illinois,America/Chicago,-87.88445,18025,41.93883
87,60133,Hanover Park,Cook,IL,Illinois,America/Chicago,-88.14302,38400,41.97765
88,60134,Geneva,Kane,IL,Illinois,America/Chicago,-88.34194,29401,41.87857
89,60135,Genoa,DeKalb,IL,Illinois,America/Chicago,-88.67746,6906,42.11225
90,60136,Gilberts,Kane,IL,Illinois,America/Chicago,-88.37827,7742,42.10468
91,60137,Glen Ellyn,DuPage,IL,Illinois,America/Chicago,-88.06187,38279,41.86517
92,60139,Glendale Heights,DuPage,IL,Illinois,America/Chicago,-88.07787,34364,41.91929
93,60140,Hampshire,Kane,IL,Illinois,America/Chicago,-88.50655,17639,42.07839
94,60141,Hines,Cook,IL,Illinois,America/Chicago,-87.838,216,41.85786
95,60142,Huntley,McHenry,IL,Illinois,America/Chicago,-88.44239,28121,42.17566
96,60143,Itasca,DuPage,IL,Illinois,America/Chicago,-88.02155,10996,41.97306
97,60144,Kaneville,Kane,IL,Illinois,America/Chicago,-88.5206,69,41.83594
98,60145,Kingston,DeKalb,IL,Illinois,America/Chicago,-88.77654,2673,42.09364
99,60146,Kirkland,DeKalb,IL,Illinois,America/Chicago,-88.88133,2655,42.09947
100,60148,Lombard,DuPage,IL,Illinois,America/Chicago,-88.01817,52963,41.87419
101,60150,Malta,DeKalb,IL,Illinois,America/Chicago,-88.88861,1692,41.92493
102,60151,Maple Park,Kane,IL,Illinois,America/Chicago,-88.56665,4024,41.91613
103,60152,Marengo,McHenry,IL,Illinois,America/Chicago,-88.62554,12345,42.23695
104,60153,Maywood,Cook,IL,Illinois,America/Chicago,-87.84327,23810,41.8793
105,60154,Westchester,Cook,IL,Illinois,America/Chicago,-87.89167,16573,41.84749
106,60155,Broadview,Cook,IL,Illinois,America/Chicago,-87.85636,7829,41.85781
107,60156,Lake In The Hills,McHenry,IL,Illinois,America/Chicago,-88.34581,28886,42.19139
108,60157,Medinah,DuPage,IL,Illinois,America/Chicago,-88.05537,2502,41.97464
109,60160,Melrose Park,Cook,IL,Illinois,America/Chicago,-87.86064,25412,41.90414
110,60162,Hillside,Cook,IL,Illinois,America/Chicago,-87.90222,8165,41.86752
111,60163,Berkeley,Cook,IL,Illinois,America/Chicago,-87.90897,5161,41.88891
112,60164,Melrose Park,Cook,IL,Illinois,America/Chicago,-87.90066,21600,41.91753
113,60165,Stone Park,Cook,IL,Illinois,America/Chicago,-87.88077,4923,41.90325
114,60169,Hoffman Estates,Cook,IL,Illinois,America/Chicago,-88.11666,33667,42.05039
115,60171,River Grove,Cook,IL,Illinois,America/Chicago,-87.83843,10148,41.92507
116,60172,Roselle,DuPage,IL,Illinois,America/Chicago,-88.0896,24551,41.97968
117,60173,Schaumburg,Cook,IL,Illinois,America/Chicago,-88.05196,12162,42.05159
118,60174,Saint Charles,Kane,IL,Illinois,America/Chicago,-88.29934,31405,41.92723
119,60175,Saint Charles,Kane,IL,Illinois,America/Chicago,-88.39103,25734,41.947
120,60176,Schiller Park,Cook,IL,Illinois,America/Chicago,-87.86891,11704,41.95816
121,60177,South Elgin,Kane,IL,Illinois,America/Chicago,-88.30998,23109,41.98991
122,60178,Sycamore,DeKalb,IL,Illinois,America/Chicago,-88.66896,22413,42.00638
123,60180,Union,McHenry,IL,Illinois,America/Chicago,-88.52456,2077,42.22529
124,60181,Villa Park,DuPage,IL,Illinois,America/Chicago,-87.97633,28801,41.87823
125,60184,Wayne,DuPage,IL,Illinois,America/Chicago,-88.25372,2357,41.95248
126,60185,West Chicago,DuPage,IL,Illinois,America/Chicago,-88.21262,36129,41.89482
127,60187,Wheaton,DuPage,IL,Illinois,America/Chicago,-88.11229,29708,41.87242
128,60188,Carol Stream,DuPage,IL,Illinois,America/Chicago,-88.12924,42602,41.9159
129,60189,Wheaton,DuPage,IL,Illinois,America/Chicago,-88.11787,30427,41.83975
130,60190,Winfield,DuPage,IL,Illinois,America/Chicago,-88.15683,11143,41.8717
131,60191,Wood Dale,DuPage,IL,Illinois,America/Chicago,-87.98076,14147,41.96613
132,60192,Hoffman Estates,Cook,IL,Illinois,America/Chicago,-88.18223,15650,42.0737
133,60193,Schaumburg,Cook,IL,Illinois,America/Chicago,-88.09624,40248,42.01177
134,60194,Schaumburg,Cook,IL,Illinois,America/Chicago,-88.11152,18946,42.03363
135,60195,Schaumburg,Cook,IL,Illinois,America/Chicago,-88.09126,5568,42.06708
136,60201,Evanston,Cook,IL,Illinois,America/Chicago,-87.69735,42296,42.05662
137,60202,Evanston,Cook,IL,Illinois,America/Chicago,-87.68954,32861,42.03045
138,60203,Evanston,Cook,IL,Illinois,America/Chicago,-87.71749,4188,42.04902
139,60301,Oak Park,Cook,IL,Illinois,America/Chicago,-87.79919,2536,41.88876
140,60302,Oak Park,Cook,IL,Illinois,America/Chicago,-87.78971,32048,41.89463
141,60304,Oak Park,Cook,IL,Illinois,America/Chicago,-87.78948,17641,41.87243
142,60305,River Forest,Cook,IL,Illinois,America/Chicago,-87.81936,11064,41.895
143,60401,Beecher,Will,IL,Illinois,America/Chicago,-87.61374,7779,41.34396
144,60402,Berwyn,Cook,IL,Illinois,America/Chicago,-87.79139,63554,41.83469
145,60403,Crest Hill,Will,IL,Illinois,America/Chicago,-88.11399,18254,41.57228
146,60404,Shorewood,Will,IL,Illinois,America/Chicago,-88.22307,18796,41.50876
147,60406,Blue Island,Cook,IL,Illinois,America/Chicago,-87.68184,25256,41.65472
148,60407,Braceville,Grundy,IL,Illinois,America/Chicago,-88.26933,1696,41.23056
149,60408,Braidwood,Will,IL,Illinois,America/Chicago,-88.21672,5649,41.26375
150,60409,Calumet City,Cook,IL,Illinois,America/Chicago,-87.55132,36955,41.61324
151,60410,Channahon,Will,IL,Illinois,America/Chicago,-88.21366,12791,41.42205
152,60411,Chicago Heights,Cook,IL,Illinois,America/Chicago,-87.59056,57800,41.50869
153,60415,Chicago Ridge,Cook,IL,Illinois,America/Chicago,-87.77881,14254,41.70292
154,60416,Coal City,Grundy,IL,Illinois,America/Chicago,-88.28182,9164,41.29311
155,60417,Crete,Will,IL,Illinois,America/Chicago,-87.59319,15225,41.42887
156,60419,Dolton,Cook,IL,Illinois,America/Chicago,-87.59943,22644,41.62774
157,60420,Dwight,Livingston,IL,Illinois,America/Chicago,-88.41721,4812,41.08772
158,60421,Elwood,Will,IL,Illinois,America/Chicago,-88.09955,3843,41.43127
159,60422,Flossmoor,Cook,IL,Illinois,America/Chicago,-87.68411,9768,41.53698
160,60423,Frankfort,Will,IL,Illinois,America/Chicago,-87.83793,30938,41.47957
161,60424,Gardner,Grundy,IL,Illinois,America/Chicago,-88.32732,2465,41.1682
162,60425,Glenwood,Cook,IL,Illinois,America/Chicago,-87.61171,8912,41.54551
163,60426,Harvey,Cook,IL,Illinois,America/Chicago,-87.65341,28924,41.61032
164,60428,Markham,Cook,IL,Illinois,America/Chicago,-87.69054,12271,41.59979
165,60429,Hazel Crest,Cook,IL,Illinois,America/Chicago,-87.68409,15387,41.57366
166,60430,Homewood,Cook,IL,Illinois,America/Chicago,-87.66468,20227,41.55767
167,60431,Joliet,Will,IL,Illinois,America/Chicago,-88.20524,23219,41.53267
168,60432,Joliet,Will,IL,Illinois,America/Chicago,-88.04151,20222,41.54029
169,60433,Joliet,Will,IL,Illinois,America/Chicago,-88.04321,16629,41.49967
170,60435,Joliet,Will,IL,Illinois,America/Chicago,-88.12991,49863,41.54542
171,60436,Joliet,Will,IL,Illinois,America/Chicago,-88.12256,18945,41.49231
172,60437,Kinsman,Grundy,IL,Illinois,America/Chicago,-88.55351,183,41.16305
173,60438,Lansing,Cook,IL,Illinois,America/Chicago,-87.55086,28960,41.56661
174,60439,Lemont,Cook,IL,Illinois,America/Chicago,-87.98217,23422,41.67522
175,60440,Bolingbrook,Will,IL,Illinois,America/Chicago,-88.07509,52246,41.70022
176,60441,Lockport,Will,IL,Illinois,America/Chicago,-88.05067,35415,41.59298
177,60442,Manhattan,Will,IL,Illinois,America/Chicago,-87.96353,10531,41.39275
178,60443,Matteson,Cook,IL,Illinois,America/Chicago,-87.74683,21554,41.50372
179,60444,Mazon,Grundy,IL,Illinois,America/Chicago,-88.40224,1721,41.24234
180,60445,Midlothian,Cook,IL,Illinois,America/Chicago,-87.7362,25930,41.63501
181,60446,Romeoville,Will,IL,Illinois,America/Chicago,-88.10459,40085,41.6318
182,60447,Minooka,Grundy,IL,Illinois,America/Chicago,-88.32419,14220,41.4882
183,60448,Mokena,Will,IL,Illinois,America/Chicago,-87.89374,26710,41.5377
184,60449,Monee,Will,IL,Illinois,America/Chicago,-87.77244,9400,41.41569
185,60450,Morris,Grundy,IL,Illinois,America/Chicago,-88.43282,20460,41.36951
186,60451,New Lenox,Will,IL,Illinois,America/Chicago,-87.96071,34945,41.5069
187,60452,Oak Forest,Cook,IL,Illinois,America/Chicago,-87.75535,28324,41.60767
188,60453,Oak Lawn,Cook,IL,Illinois,America/Chicago,-87.75283,56420,41.71427
189,60455,Bridgeview,Cook,IL,Illinois,America/Chicago,-87.80863,16479,41.74211
190,60456,Hometown,Cook,IL,Illinois,America/Chicago,-87.73106,4308,41.73123
191,60457,Hickory Hills,Cook,IL,Illinois,America/Chicago,-87.82808,14018,41.72464
192,60458,Justice,Cook,IL,Illinois,America/Chicago,-87.83453,15288,41.74892
193,60459,Burbank,Cook,IL,Illinois,America/Chicago,-87.76858,28908,41.74446
194,60460,Odell,Livingston,IL,Illinois,America/Chicago,-88.53656,1333,41.0012
195,60461,Olympia Fields,Cook,IL,Illinois,America/Chicago,-87.69085,4917,41.51665
196,60462,Orland Park,Cook,IL,Illinois,America/Chicago,-87.83245,40305,41.62489
197,60463,Palos Heights,Cook,IL,Illinois,America/Chicago,-87.78998,14926,41.66097
198,60464,Palos Park,Cook,IL,Illinois,America/Chicago,-87.86183,9715,41.66249
199,60465,Palos Hills,Cook,IL,Illinois,America/Chicago,-87.82886,17473,41.69844
200,60466,Park Forest,Cook,IL,Illinois,America/Chicago,-87.68284,21989,41.47904
201,60467,Orland Park,Cook,IL,Illinois,America/Chicago,-87.88989,26628,41.60181
202,60468,Peotone,Will,IL,Illinois,America/Chicago,-87.81131,6044,41.33633
203,60469,Posen,Cook,IL,Illinois,America/Chicago,-87.68712,5780,41.62825
204,60470,Ransom,LaSalle,IL,Illinois,America/Chicago,-88.64107,497,41.16897
205,60471,Richton Park,Cook,IL,Illinois,America/Chicago,-87.73402,14055,41.47959
206,60472,Robbins,Cook,IL,Illinois,America/Chicago,-87.7088,4870,41.64375
207,60473,South Holland,Cook,IL,Illinois,America/Chicago,-87.59978,22201,41.59738
208,60474,South Wilmington,Grundy,IL,Illinois,America/Chicago,-88.26673,986,41.18539
209,60475,Steger,Will,IL,Illinois,America/Chicago,-87.62786,9674,41.47271
210,60476,Thornton,Cook,IL,Illinois,America/Chicago,-87.60671,2493,41.56864
211,60477,Tinley Park,Cook,IL,Illinois,America/Chicago,-87.7887,37919,41.57255
212,60478,Country Club Hills,Cook,IL,Illinois,America/Chicago,-87.72468,17112,41.56381
213,60479,Verona,Grundy,IL,Illinois,America/Chicago,-88.51792,934,41.22869
214,60480,Willow Springs,Cook,IL,Illinois,America/Chicago,-87.88088,5370,41.72896
215,60481,Wilmington,Will,IL,Illinois,America/Chicago,-88.12306,11540,41.28398
216,60482,Worth,Cook,IL,Illinois,America/Chicago,-87.79106,10916,41.68735
217,60484,University Park,Will,IL,Illinois,America/Chicago,-87.70623,6580,41.44205
218,60487,Tinley Park,Cook,IL,Illinois,America/Chicago,-87.83423,26588,41.56359
219,60490,Bolingbrook,Will,IL,Illinois,America/Chicago,-88.14442,22202,41.67474
220,60491,Homer Glen,Will,IL,Illinois,America/Chicago,-87.95988,22961,41.60278
221,60501,Summit Argo,Cook,IL,Illinois,America/Chicago,-87.82394,11854,41.78014
222,60502,Aurora,DuPage,IL,Illinois,America/Chicago,-88.25909,22622,41.7921
223,60503,Aurora,Will,IL,Illinois,America/Chicago,-88.2565,16973,41.71277
224,60504,Aurora,DuPage,IL,Illinois,America/Chicago,-88.23847,38013,41.74634
225,60505,Aurora,Kane,IL,Illinois,America/Chicago,-88.29409,77190,41.76429
226,60506,Aurora,Kane,IL,Illinois,America/Chicago,-88.36503,54216,41.76524
227,60510,Batavia,Kane,IL,Illinois,America/Chicago,-88.30552,29533,41.84212
228,60511,Big Rock,Kane,IL,Illinois,America/Chicago,-88.55615,1932,41.75795
229,60512,Bristol,Kendall,IL,Illinois,America/Chicago,-88.43968,1184,41.70162
230,60513,Brookfield,Cook,IL,Illinois,America/Chicago,-87.84692,18880,41.82458
231,60514,Clarendon Hills,DuPage,IL,Illinois,America/Chicago,-87.95693,10109,41.79653
232,60515,Downers Grove,DuPage,IL,Illinois,America/Chicago,-88.02289,28566,41.80961
233,60516,Downers Grove,DuPage,IL,Illinois,America/Chicago,-88.01359,29268,41.76242
234,60517,Woodridge,DuPage,IL,Illinois,America/Chicago,-88.04237,32328,41.74204
235,60518,Earlville,LaSalle,IL,Illinois,America/Chicago,-88.91874,3543,41.59782
236,60519,Eola,DuPage,IL,Illinois,America/Chicago,-88.24233,63,41.77789
237,60520,Hinckley,DeKalb,IL,Illinois,America/Chicago,-88.65816,2810,41.78252
238,60521,Hinsdale,DuPage,IL,Illinois,America/Chicago,-87.92878,18402,41.79999
239,60523,Oak Brook,DuPage,IL,Illinois,America/Chicago,-87.95405,10136,41.83706
240,60525,La Grange,Cook,IL,Illinois,America/Chicago,-87.86893,30576,41.78424
241,60526,La Grange Park,Cook,IL,Illinois,America/Chicago,-87.87395,13546,41.83183
242,60527,Willowbrook,DuPage,IL,Illinois,America/Chicago,-87.93334,27903,41.74464
243,60530,Lee,Lee,IL,Illinois,America/Chicago,-88.96062,484,41.79491
244,60531,Leland,LaSalle,IL,Illinois,America/Chicago,-88.78692,1759,41.6157
245,60532,Lisle,DuPage,IL,Illinois,America/Chicago,-88.08441,28178,41.79241
246,60534,Lyons,Cook,IL,Illinois,America/Chicago,-87.82214,10544,41.81338
247,60536,Millbrook,Kendall,IL,Illinois,America/Chicago,-88.54992,116,41.59721
248,60537,Millington,LaSalle,IL,Illinois,America/Chicago,-88.60245,647,41.56212
249,60538,Montgomery,Kendall,IL,Illinois,America/Chicago,-88.35905,28451,41.72218
250,60539,Mooseheart,Kane,IL,Illinois,America/Chicago,-88.33459,273,41.82567
251,60540,Naperville,DuPage,IL,Illinois,America/Chicago,-88.14514,45112,41.76365
252,60541,Newark,Kendall,IL,Illinois,America/Chicago,-88.52544,3660,41.51663
253,60542,North Aurora,Kane,IL,Illinois,America/Chicago,-88.35064,18125,41.80928
254,60543,Oswego,Kendall,IL,Illinois,America/Chicago,-88.32321,40027,41.66526
255,60544,Plainfield,Will,IL,Illinois,America/Chicago,-88.21667,26498,41.61338
256,60545,Plano,Kendall,IL,Illinois,America/Chicago,-88.53667,13259,41.67748
257,60546,Riverside,Cook,IL,Illinois,America/Chicago,-87.82144,15685,41.83803
258,60548,Sandwich,DeKalb,IL,Illinois,America/Chicago,-88.63618,12374,41.64812
259,60549,Serena,LaSalle,IL,Illinois,America/Chicago,-88.7424,232,41.49085
260,60550,Shabbona,DeKalb,IL,Illinois,America/Chicago,-88.87593,1454,41.77879
261,60551,Sheridan,LaSalle,IL,Illinois,America/Chicago,-88.68472,5500,41.52538
262,60552,Somonauk,LaSalle,IL,Illinois,America/Chicago,-88.70302,4401,41.6599
263,60553,Steward,Lee,IL,Illinois,America/Chicago,-89.02682,701,41.82789
264,60554,Sugar Grove,Kane,IL,Illinois,America/Chicago,-88.45653,12166,41.776
265,60555,Warrenville,DuPage,IL,Illinois,America/Chicago,-88.18134,13448,41.82275
266,60556,Waterman,DeKalb,IL,Illinois,America/Chicago,-88.77347,2029,41.76265
267,60557,Wedron,LaSalle,IL,Illinois,America/Chicago,-88.76381,157,41.44553
268,60558,Western Springs,Cook,IL,Illinois,America/Chicago,-87.90159,13227,41.80612
269,60559,Westmont,DuPage,IL,Illinois,America/Chicago,-87.97484,24529,41.79401
270,60560,Yorkville,Kendall,IL,Illinois,America/Chicago,-88.42971,24886,41.60799
271,60561,Darien,DuPage,IL,Illinois,America/Chicago,-87.98237,23163,41.7454
272,60563,Naperville,DuPage,IL,Illinois,America/Chicago,-88.17019,37409,41.7997
273,60564,Naperville,Will,IL,Illinois,America/Chicago,-88.19855,42513,41.70821
274,60565,Naperville,DuPage,IL,Illinois,America/Chicago,-88.12392,40773,41.73006
275,60585,Plainfield,Will,IL,Illinois,America/Chicago,-88.22417,24368,41.65936
276,60586,Plainfield,Will,IL,Illinois,America/Chicago,-88.23341,47692,41.57046
277,60601,Chicago,Cook,IL,Illinois,America/Chicago,-87.62194,14675,41.88526
278,60602,Chicago,Cook,IL,Illinois,America/Chicago,-87.62912,1244,41.88309
279,60603,Chicago,Cook,IL,Illinois,America/Chicago,-87.62549,1174,41.88022
280,60604,Chicago,Cook,IL,Illinois,America/Chicago,-87.62837,782,41.87814
281,60605,Chicago,Cook,IL,Illinois,America/Chicago,-87.61983,27519,41.86684
282,60606,Chicago,Cook,IL,Illinois,America/Chicago,-87.63731,3101,41.88195
283,60607,Chicago,Cook,IL,Illinois,America/Chicago,-87.65157,29591,41.875
284,60608,Chicago,Cook,IL,Illinois,America/Chicago,-87.6713,79205,41.84876
285,60609,Chicago,Cook,IL,Illinois,America/Chicago,-87.65565,61495,41.81252
286,60610,Chicago,Cook,IL,Illinois,America/Chicago,-87.63615,39019,41.90487
287,60611,Chicago,Cook,IL,Illinois,America/Chicago,-87.61938,32426,41.89472
288,60612,Chicago,Cook,IL,Illinois,America/Chicago,-87.68767,34311,41.88033
289,60613,Chicago,Cook,IL,Illinois,America/Chicago,-87.65796,50113,41.95583
290,60614,Chicago,Cook,IL,Illinois,America/Chicago,-87.65139,71308,41.9228
291,60615,Chicago,Cook,IL,Illinois,America/Chicago,-87.60272,41563,41.80223
292,60616,Chicago,Cook,IL,Illinois,America/Chicago,-87.62721,54464,41.84522
293,60617,Chicago,Cook,IL,Illinois,America/Chicago,-87.55431,82534,41.71591
294,60618,Chicago,Cook,IL,Illinois,America/Chicago,-87.70262,94395,41.94696
295,60619,Chicago,Cook,IL,Illinois,America/Chicago,-87.60549,61258,41.74373
296,60620,Chicago,Cook,IL,Illinois,America/Chicago,-87.6525,68096,41.7408
297,60621,Chicago,Cook,IL,Illinois,America/Chicago,-87.63944,29042,41.77638
298,60622,Chicago,Cook,IL,Illinois,America/Chicago,-87.68331,52793,41.90274
299,60623,Chicago,Cook,IL,Illinois,America/Chicago,-87.71778,85979,41.84808
300,60624,Chicago,Cook,IL,Illinois,America/Chicago,-87.72335,36158,41.88056
301,60625,Chicago,Cook,IL,Illinois,America/Chicago,-87.70014,79243,41.97335
302,60626,Chicago,Cook,IL,Illinois,America/Chicago,-87.66963,49730,42.00903
303,60628,Chicago,Cook,IL,Illinois,America/Chicago,-87.61797,66724,41.69182
304,60629,Chicago,Cook,IL,Illinois,America/Chicago,-87.71176,111850,41.77567
305,60630,Chicago,Cook,IL,Illinois,America/Chicago,-87.75706,57344,41.97215
306,60631,Chicago,Cook,IL,Illinois,America/Chicago,-87.81316,29529,41.99475
307,60632,Chicago,Cook,IL,Illinois,America/Chicago,-87.71335,91039,41.81133
308,60633,Chicago,Cook,IL,Illinois,America/Chicago,-87.56136,12871,41.66435
309,60634,Chicago,Cook,IL,Illinois,America/Chicago,-87.8061,75995,41.94635
310,60636,Chicago,Cook,IL,Illinois,America/Chicago,-87.66912,32203,41.77576
311,60637,Chicago,Cook,IL,Illinois,America/Chicago,-87.60318,47454,41.78143
312,60638,Chicago,Cook,IL,Illinois,America/Chicago,-87.77056,58797,41.78145
313,60639,Chicago,Cook,IL,Illinois,America/Chicago,-87.75603,90517,41.92056
314,60640,Chicago,Cook,IL,Illinois,America/Chicago,-87.66347,69715,41.97236
315,60641,Chicago,Cook,IL,Illinois,America/Chicago,-87.74676,71023,41.94659
316,60642,Chicago,Cook,IL,Illinois,America/Chicago,-87.65803,20201,41.90161
317,60643,Chicago,Cook,IL,Illinois,America/Chicago,-87.66277,49870,41.69957
